date,gold_price_lkr,gold_price_usd,gold_reserves_us,silver_price,s&p_500,ny_stock_ex_rate,inflation_rate_us,fed_rate,buying_exchange_rates,selling_exchange_rates
2/1/2014,158636.7799,1225,3.36,20.1,1831.97998,10283.41992,1.6,0.08,129.27,132.23
3/1/2014,160947.6364,1238.4,3.39,20.18,1831.369995,10296.76953,1.6,0.08,129.25,132.21
6/1/2014,162422.8858,1237.8,3.4,20.08,1826.77002,10270.04981,1.6,0.08,129.26,132.22
7/1/2014,162412.0626,1229.4,3.36,19.76,1837.880005,10327.33008,1.6,0.07,129.24,132.2
8/1/2014,160678.0742,1225.3,3.55,19.52,1837.48999,10320.91016,1.6,0.07,129.35,132.23
9/1/2014,160417.0856,1229.3,3.94,19.66,1838.130005,10325.74023,1.6,0.07,129.37,132.25
10/1/2014,160949.3095,1246.7,3.89,20.2,1842.369995,10371.12988,1.6,0.07,129.31,132.19
13/01/2014,163626.9605,1250.9,3.83,20.36,1819.199951,10256.15039,1.6,0.07,129.29,132.17
14/01/2014,,1245.2,3.81,20.25,1838.880005,10343.08008,1.6,0.07,,
15/01/2014,,1238.1,3.66,20.1,1848.380005,10385.38965,1.6,0.07,,
16/01/2014,162141.3283,1240,3.7,20.02,1845.890015,10376.23047,1.6,0.07,129.28,132.16
17/01/2014,162518.515,1251.7,3.6,20.27,1838.699951,10343.45996,1.6,0.07,129.3,132.1
20/01/2014,164318.5594,1252.4992,3.72,20.2,1838.209985,10340.86211,1.6,0.07,129.29,132.17
21/01/2014,163813.2104,1242.3,3.6,19.84,1843.800049,10366.00977,1.6,0.07,129.3,132.18
22/01/2014,162489.9729,1239,3.72,19.81,1844.859985,10368.88965,1.6,0.07,129.36,132.24
23/01/2014,161321.4115,1262.6,3.65,19.99,1828.459961,10269.38965,1.6,0.07,129.36,132.24
24/01/2014,164864.6509,1264.5,3.7,19.74,1790.290039,10034.44043,1.6,0.07,129.35,132.23
27/01/2014,166528.8633,1263.6,3.65,19.77,1781.560059,9981.349609,1.6,0.07,129.28,132.16
28/01/2014,164571.001,1251,3.8,19.48,1792.5,10066.83984,1.6,0.07,129.35,132.23
29/01/2014,163903.5602,1262.2,3.75,19.53,1774.199951,9962.919922,1.6,0.07,129.37,132.25
30/01/2014,165116.9157,1242.2,3.76,19.11,1794.189941,10048.69043,1.6,0.07,129.32,132.2
31/01/2014,162487.429,1238.4,3.63,19.1,1782.589966,9967.650391,1.6,0.07,129.28,132.16
3/2/2014,162744.8331,1260.4,3.48,19.39,1741.890015,9741.580078,1.1,0.07,129.31,132.19
4/2/2014,,1251.7,3.603,19.4,1755.199951,9816.969727,1.1,0.07,,
5/2/2014,164070.6784,1257.3,3.4,19.78,1751.640015,9809.030273,1.1,0.07,129.3,132.18
6/2/2014,164184.0871,1257.6,3.4,19.91,1773.430054,9940.219727,1.1,0.07,129.27,132.15
7/2/2014,164599.0151,1263.3,3.34,19.92,1797.02002,10055.33984,1.1,0.06,129.25,132.13
10/2/2014,165895.0079,1274.8,3.49,20.1,1799.839966,10050.40039,1.1,0.07,129.29,132.17
11/2/2014,167921.997,1290.1,3.566,20.14,1819.75,10170.37012,1.1,0.06,129.33,132.21
12/2/2014,168304.016,1295.3,3.5,20.33,1819.26001,10173.76953,1.1,0.07,129.36,132.24
13/02/2014,169000.4737,1300.4,3.45,20.39,1829.829956,10228.58008,1.1,0.06,129.37,132.25
14/02/2014,,1319,3.48,21.41,1838.630005,10282.53027,1.1,0.06,,
17/02/2014,173601.4715,1324.204,3.4972,20.474,1821.461987,10181.13008,1.1,0.06,129.35,132.23
18/02/2014,173119.5504,1324.7,3.4,21.89,1840.76001,10319.12012,1.1,0.07,129.37,132.25
19/02/2014,172341.1625,1320.6,3.2,21.84,1828.75,10254.24023,1.1,0.07,129.38,132.26
20/02/2014,171628.7483,1317.1,3.21,21.68,1839.780029,10316.88965,1.1,0.07,129.4,132.28
21/02/2014,172710.2064,1323.9,3.25,21.78,1836.25,10306.90039,1.1,0.07,129.46,132.34
24/02/2014,173075.5667,1338.3,3.24,22.05,1847.609985,10369.51953,1.1,0.07,129.47,132.35
25/02/2014,174696.6591,1343,3.33,21.96,1845.119995,10353.78027,1.1,0.07,129.54,132.42
26/02/2014,175399.3479,1328.2,3.26,21.25,1845.160034,10349.95996,1.1,0.07,129.59,132.47
27/02/2014,,1331.6,3.26,21.31,1854.290039,10397.80957,1.1,0.07,,
